"ba52_NDI-T2-CN - ba52_NDI-T2-CN.spc"
"Wavelength nm."	"Abs."
790,000	0,00056
791,000	0,00092
792,000	0,00024
793,000	0,00037
794,000	0,00079
795,000	0,00076
796,000	0,00046
797,000	0,00084
798,000	0,00084
799,000	0,00079
800,000	0,00055
